full_name,member_title,last_name,state,party_name,chamber,year_start,year_end,member_id
"Howard P. ""Buck"" McKeon",Representative,McKeon,California,Republican,House,1993,2015,719
Howell Heflin,Senator,Heflin,Alabama,Democratic,Senate,1979,1997,720
Ike Skelton,Representative,Skelton,Missouri,Democratic,House,1977,2011,721
Ileana Ros-Lehtinen,Representative,Ros-Lehtinen,Florida,Republican,House,1989,2019,722
Ilhan Omar,Representative,Omar,Minnesota,Democratic,House,2019,2020,723
J. Alex McMillan,Representative,McMillan,North Carolina,Republican,House,1985,1995,724
J. Bennett Johnston,Senator,Johnston,Louisiana,Democratic,Senate,1971,1997,725
"J. C., Jr. Watts",Representative,Watts,Oklahoma,Republican,House,1995,2003,726
J. D. Hayworth,Representative,Hayworth,Arizona,Republican,House,1995,2007,727
J. Dennis Hastert,Representative,Hastert,Illinois,Republican,House,1987,2007,728
J. French Hill,Representative,Hill,Arkansas,Republican,House,2015,2020,729
J. Gresham Barrett,Representative,Barrett,South Carolina,Republican,House,2003,2011,730
J. J. Pickle,Representative,Pickle,Texas,Democratic,House,1963,1995,731
J. James Exon,Senator,Exon,Nebraska,Democratic,Senate,1979,1997,732
J. Luis Correa,Representative,Correa,California,Democratic,House,2017,2020,733
J. Randy Forbes,Representative,Forbes,Virginia,Republican,House,2001,2017,734
J. Robert Kerrey,Senator,Kerrey,Nebraska,Democratic,Senate,1989,2001,735
J. Roy Rowland,Representative,Rowland,Georgia,Democratic,House,1983,1995,736
Jack B. Brooks,Representative,Brooks,Texas,Democratic,House,1953,1995,737
Jack Bergman,Representative,Bergman,Michigan,Republican,House,2017,2020,738
Jack Buechner,Representative,Buechner,Missouri,Republican,House,1987,1991,739
Jack Davis,Representative,Davis,Illinois,Republican,House,1987,1989,740
Jack Fields,Representative,Fields,Texas,Republican,House,1981,1997,741
Jack Kemp,Representative,Kemp,New York,Republican,House,1971,1989,742
Jack Kingston,Representative,Kingston,Georgia,Republican,House,1993,2015,743
Jack Metcalf,Representative,Metcalf,Washington,Republican,House,1995,2001,744
Jack Quinn,Representative,Quinn,New York,Republican,House,1993,2005,745
Jack Reed,Senator,Reed,Rhode Island,Democratic,House,1991,1997,746
Jack Reed,Senator,Reed,Rhode Island,Democratic,Senate,1997,2020,747
Jackie Speier,Representative,Speier,California,Democratic,House,2008,2020,748
Jackie Walorski,Representative,Walorski,Indiana,Republican,House,2013,2020,749
Jacky Rosen,Senator,Rosen,Nevada,Democratic,House,2017,2019,750
Jacky Rosen,Senator,Rosen,Nevada,Democratic,Senate,2019,2020,751
Jahana Hayes,Representative,Hayes,Connecticut,Democratic,House,2019,2020,752
Jaime Herrera Beutler,Representative,Herrera Beutler,Washington,Republican,House,2011,2020,753
James A. Barcia,Representative,Barcia,Michigan,Democratic,House,1993,2003,754
James A. Hayes,Representative,Hayes,Louisiana,Republican,House,1987,1997,755
James A. Himes,Representative,Himes,Connecticut,Democratic,House,2009,2020,756
James A. Leach,Representative,Leach,Iowa,Republican,House,1977,2007,757
James A. McClure,Senator,McClure,Idaho,Republican,House,1967,1973,758
James A. McClure,Senator,McClure,Idaho,Republican,Senate,1973,1991,759
"James A., Jr. Traficant",Representative,Traficant,Ohio,Democratic,House,1985,2002,760
James B. Renacci,Representative,Renacci,Ohio,Republican,House,2011,2019,761
"James B., Jr. Longley",Representative,Longley,Maine,Republican,House,1995,1997,762
James C. Greenwood,Representative,Greenwood,Pennsylvania,Republican,House,1993,2005,763
"James C., Jr. Wright",Representative,Wright,Texas,Democratic,House,1955,1991,764
James Comer,Representative,Comer,Kentucky,Republican,House,2016,2020,765
James E. Clyburn,Representative,Clyburn,South Carolina,Democratic,House,1993,2020,766
James E. Risch,Senator,Risch,Idaho,Republican,Senate,2009,2020,767
James E. Rogan,Representative,Rogan,California,Republican,House,1997,2001,768
James H. (Jimmy) Quillen,Representative,Quillen,Tennessee,Republican,House,1963,1997,769
James H. Bilbray,Representative,Bilbray,Nevada,Democratic,House,1987,1995,770
James H. Maloney,Representative,Maloney,Connecticut,Democratic,House,1997,2003,771
James H. Scheuer,Representative,Scheuer,New York,Democratic,House,1965,1993,772
James J. Florio,Representative,Florio,New Jersey,Democratic,House,1975,1991,773
James J. Howard,Representative,Howard,New Jersey,Democratic,House,1965,1989,774
James L. Oberstar,Representative,Oberstar,Minnesota,Democratic,House,1975,2011,775
James Lankford,Senator,Lankford,Oklahoma,Republican,House,2011,2015,776
James Lankford,Senator,Lankford,Oklahoma,Republican,Senate,2015,2020,777
James M. Inhofe,Senator,Inhofe,Oklahoma,Republican,House,1987,1995,778
James M. Inhofe,Senator,Inhofe,Oklahoma,Republican,Senate,1994,2020,779
James M. Jeffords,Senator,Jeffords,Vermont,Independent,House,1975,1989,780
James M. Jeffords,Senator,Jeffords,Vermont,Independent,Senate,1989,2007,781
James McC. Clarke,Representative,Clarke,North Carolina,Democratic,House,1983,1991,782
James P. McGovern,Representative,McGovern,Massachusetts,Democratic,House,1997,2020,783
James P. Moran,Representative,Moran,Virginia,Democratic,House,1991,2015,784
James R. Baird,Representative,Baird,Indiana,Republican,House,2019,2020,785
James R. Langevin,Representative,Langevin,Rhode Island,Democratic,House,2001,2020,786
James R. Olin,Representative,Olin,Virginia,Democratic,House,1983,1993,787
James T. Walsh,Representative,Walsh,New York,Republican,House,1989,2009,788
James V. Hansen,Representative,Hansen,Utah,Republican,House,1981,2003,789
Jamie B. Fuster,Resident Commissioner,Fuster,Puerto Rico,Democratic,House,1985,1993,790
Jamie L. Whitten,Representative,Whitten,Mississippi,Democratic,House,1941,1995,791
Jamie Raskin,Representative,Raskin,Maryland,Democratic,House,2017,2020,792
Jan Meyers,Representative,Meyers,Kansas,Republican,House,1985,1997,793
Jane Harman,Representative,Harman,California,Democratic,House,1993,2011,794
Janice D. Schakowsky,Representative,Schakowsky,Illinois,Democratic,House,1999,2020,795
Janice Hahn,Representative,Hahn,California,Democratic,House,2011,2017,796
Jared F. Golden,Representative,Golden,Maine,Democratic,House,2019,2020,797
Jared Huffman,Representative,Huffman,California,Democratic,House,2013,2020,798
Jared Polis,Representative,Polis,Colorado,Democratic,House,2009,2019,799
Jason Altmire,Representative,Altmire,Pennsylvania,Democratic,House,2007,2013,800
Jason Chaffetz,Representative,Chaffetz,Utah,Republican,House,2009,2017,801
Jason Crow,Representative,Crow,Colorado,Democratic,House,2019,2020,802
Jason Lewis,Representative,Lewis,Minnesota,Republican,House,2017,2019,803
Jason Smith,Representative,Smith,Missouri,Republican,House,2013,2020,804
Jay Dickey,Representative,Dickey,Arkansas,Republican,House,1993,2001,805
Jay Inslee,Representative,Inslee,Washington,Democratic,House,1993,2012,806
Jay Kim,Representative,Kim,California,Republican,House,1993,1999,807
Jay W. Johnson,Representative,Johnson,Wisconsin,Democratic,House,1997,1999,808
Jean Carnahan,Senator,Carnahan,Missouri,Democratic,Senate,2001,2002,809
Jean Schmidt,Representative,Schmidt,Ohio,Republican,House,2005,2013,810
Jeanne Shaheen,Senator,Shaheen,New Hampshire,Democratic,Senate,2009,2020,811
Jeb Bradley,Representative,Bradley,New Hampshire,Republican,House,2003,2007,812
Jeb Hensarling,Representative,Hensarling,Texas,Republican,House,2003,2019,813
Jeff Bingaman,Senator,Bingaman,New Mexico,Democratic,Senate,1983,2013,814
Jeff Chiesa,Senator,Chiesa,New Jersey,Republican,Senate,2013,2013,815
Jeff Denham,Representative,Denham,California,Republican,House,2011,2019,816
Jeff Duncan,Representative,Duncan,South Carolina,Republican,House,2011,2020,817
Jeff Flake,Senator,Flake,Arizona,Republican,House,2001,2013,818
Jeff Flake,Senator,Flake,Arizona,Republican,Senate,2013,2019,819
Jeff Fortenberry,Representative,Fortenberry,Nebraska,Republican,House,2005,2020,820
Jeff Merkley,Senator,Merkley,Oregon,Democratic,Senate,2009,2020,821
Jeff Miller,Representative,Miller,Florida,Republican,House,2001,2017,822
Jeff Sessions,Senator,Sessions,Alabama,Republican,Senate,1997,2017,823
Jefferson Van Drew,Representative,Van Drew,New Jersey,Republican,House,2019,2020,824
Jeffrey M. Landry,Representative,Landry,Louisiana,Republican,House,2011,2013,825
Jennifer Dunn,Representative,Dunn,Washington,Republican,House,1993,2005,826
Jennifer Wexton,Representative,Wexton,Virginia,Democratic,House,2019,2020,827
Jenniffer Gonzalez-Colon,Resident Commissioner,Gonzalez-Colon,Puerto Rico,Republican,House,2017,2020,828
Jerrold Nadler,Representative,Nadler,New York,Democratic,House,1991,2020,829
Jerry F. Costello,Representative,Costello,Illinois,Democratic,House,1987,2013,830
Jerry Lewis,Representative,Lewis,California,Republican,House,1979,2013,831
Jerry McNerney,Representative,McNerney,California,Democratic,House,2007,2020,832
Jerry Moran,Senator,Moran,Kansas,Republican,House,1997,2011,833
Jerry Moran,Senator,Moran,Kansas,Republican,Senate,2011,2020,834
Jerry Weller,Representative,Weller,Illinois,Republican,House,1995,2009,835
Jesse Helms,Senator,Helms,North Carolina,Republican,Senate,1973,2003,836
"Jesse L., Jr. Jackson",Representative,Jackson,Illinois,Democratic,House,1995,2012,837
"Jesus G. ""Chuy"" Garcia",Representative,Garcia,Illinois,Democratic,House,2019,2020,838
Jill L. Long,Representative,Long,Indiana,Democratic,House,1989,1995,839
Jim Bacchus,Representative,Bacchus,Florida,Democratic,House,1991,1995,840
Jim Banks,Representative,Banks,Indiana,Republican,House,2017,2020,841
Jim Bates,Representative,Bates,California,Democratic,House,1983,1991,842
Jim Bridenstine,Representative,Bridenstine,Oklahoma,Republican,House,2013,2018,843
Jim Bunn,Representative,Bunn,Oregon,Republican,House,1995,1997,844
Jim Bunning,Senator,Bunning,Kentucky,Republican,House,1987,1999,845
Jim Bunning,Senator,Bunning,Kentucky,Republican,Senate,1999,2011,846
Jim Chapman,Representative,Chapman,Texas,Democratic,House,1985,1997,847
Jim Cooper,Representative,Cooper,Tennessee,Democratic,House,1983,2020,848
Jim Costa,Representative,Costa,California,Democratic,House,2005,2020,849
Jim Courter,Representative,Courter,New Jersey,Republican,House,1979,1991,850
Jim Davis,Representative,Davis,Florida,Democratic,House,1997,2007,851
Jim DeMint,Senator,DeMint,South Carolina,Republican,House,1999,2005,852
Jim DeMint,Senator,DeMint,South Carolina,Republican,Senate,2005,2012,853
Jim Gerlach,Representative,Gerlach,Pennsylvania,Republican,House,2003,2015,854
Jim Gibbons,Representative,Gibbons,Nevada,Republican,House,1997,2007,855
Jim Hagedorn,Representative,Hagedorn,Minnesota,Republican,House,2019,2020,856
Jim Jontz,Representative,Jontz,Indiana,Democratic,House,1987,1993,857
Jim Jordan,Representative,Jordan,Ohio,Republican,House,2007,2020,858
Jim Kolbe,Representative,Kolbe,Arizona,Republican,House,1985,2007,859
Jim Lightfoot,Representative,Lightfoot,Iowa,Republican,House,1985,1997,860
Jim Marshall,Representative,Marshall,Georgia,Democratic,House,2003,2011,861
Jim Matheson,Representative,Matheson,Utah,Democratic,House,2001,2015,862
Jim McCrery,Representative,McCrery,Louisiana,Republican,House,1987,2011,863
Jim McDermott,Representative,McDermott,Washington,Democratic,House,1989,2017,864
Jim Moody,Representative,Moody,Wisconsin,Democratic,House,1983,1993,865
Jim Nussle,Representative,Nussle,Iowa,Republican,House,1991,2007,866
Jim Ramstad,Representative,Ramstad,Minnesota,Republican,House,1991,2009,867
Jim Ryun,Representative,Ryun,Kansas,Republican,House,1997,2007,868
Jim Sasser,Senator,Sasser,Tennessee,Democratic,Senate,1977,1995,869
Jim Saxton,Representative,Saxton,New Jersey,Republican,House,1985,2009,870
Jim Slattery,Representative,Slattery,Kansas,Democratic,House,1983,1995,871
Jim Talent,Senator,Talent,Missouri,Republican,House,1993,2001,872
Jim Talent,Senator,Talent,Missouri,Republican,Senate,2002,2007,873
Jim Turner,Representative,Turner,Texas,Democratic,House,1997,2005,874
Jim Webb,Senator,Webb,Virginia,Democratic,Senate,2007,2013,875
Jimmy Gomez,Representative,Gomez,California,Democratic,House,2017,2020,876
Jimmy Panetta,Representative,Panetta,California,Democratic,House,2017,2020,877
Jo Ann Davis,Representative,Davis,Virginia,Republican,House,2001,2007,878
Jo Ann Emerson,Representative,Emerson,Missouri,Republican,House,1997,2013,879
Jo Bonner,Representative,Bonner,Alabama,Republican,House,2003,2013,880
Joan Kelly Horn,Representative,Horn,Missouri,Democratic,House,1991,1993,881
Joaquin Castro,Representative,Castro,Texas,Democratic,House,2013,2020,882
Jocelyn Burdick,Senator,Burdick,North Dakota,Democratic,Senate,1991,1993,883
Jodey C. Arrington,Representative,Arrington,Texas,Republican,House,2017,2020,884
Jody B. Hice,Representative,Hice,Georgia,Republican,House,2015,2020,885
Joe Baca,Representative,Baca,California,Democratic,House,1999,2013,886
Joe Barton,Representative,Barton,Texas,Republican,House,1985,2019,887
Joe Courtney,Representative,Courtney,Connecticut,Democratic,House,2007,2020,888
Joe Cunningham,Representative,Cunningham,South Carolina,Democratic,House,2019,2020,889
Joe Donnelly,Senator,Donnelly,Indiana,Democratic,House,2007,2013,890
Joe Donnelly,Senator,Donnelly,Indiana,Democratic,Senate,2013,2019,891
Joe Garcia,Representative,Garcia,Florida,Democratic,House,2013,2015,892
Joe Knollenberg,Representative,Knollenberg,Michigan,Republican,House,1993,2009,893
Joe Neguse,Representative,Neguse,Colorado,Democratic,House,2019,2020,894
Joe Scarborough,Representative,Scarborough,Florida,Republican,House,1995,2001,895
Joe Sestak,Representative,Sestak,Pennsylvania,Democratic,House,2007,2011,896
Joe Skeen,Representative,Skeen,New Mexico,Republican,House,1981,2003,897
Joe Walsh,Representative,Walsh,Illinois,Republican,House,2011,2013,898
Joe Wilson,Representative,Wilson,South Carolina,Republican,House,2001,2020,899
"Joe, III Manchin",Senator,Manchin,West Virginia,Democratic,Senate,2010,2020,900
Joel Hefley,Representative,Hefley,Colorado,Republican,House,1987,2007,901
John A. Boccieri,Representative,Boccieri,Ohio,Democratic,House,2009,2011,902
John A. Boehner,Representative,Boehner,Ohio,Republican,House,1991,2015,903
John A. Yarmuth,Representative,Yarmuth,Kentucky,Democratic,House,2007,2020,904
John Abney Culberson,Representative,Culberson,Texas,Republican,House,2001,2019,905
John Ashcroft,Senator,Ashcroft,Missouri,Republican,Senate,1995,2001,906
John B. Breaux,Senator,Breaux,Louisiana,Democratic,House,1971,1987,907
John B. Breaux,Senator,Breaux,Louisiana,Democratic,Senate,1987,2005,908
John B. Larson,Representative,Larson,Connecticut,Democratic,House,1999,2020,909
John B. Shadegg,Representative,Shadegg,Arizona,Republican,House,1995,2011,910
John Barrasso,Senator,Barrasso,Wyoming,Republican,Senate,2007,2020,911
John Barrow,Representative,Barrow,Georgia,Democratic,House,2005,2015,912
John Boozman,Senator,Boozman,Arkansas,Republican,House,2001,2011,913
John Boozman,Senator,Boozman,Arkansas,Republican,Senate,2011,2020,914
John C. Danforth,Senator,Danforth,Missouri,Republican,Senate,1977,1995,915
John C. Stennis,Senator,Stennis,Mississippi,Democratic,Senate,1947,1989,916
"John C., Jr. Carney",Representative,Carney,Delaware,Democratic,House,2011,2017,917
John Campbell,Representative,Campbell,California,Republican,House,2005,2015,918
John Cooksey,Representative,Cooksey,Louisiana,Republican,House,1997,2003,919
John Cornyn,Senator,Cornyn,Texas,Republican,Senate,2002,2020,920
John D. Dingell,Representative,Dingell,Michigan,Democratic,House,1955,2015,921
"John D., IV Rockefeller",Senator,Rockefeller,West Virginia,Democratic,Senate,1985,2015,922
John E. Peterson,Representative,Peterson,Pennsylvania,Republican,House,1997,2009,923
John E. Sununu,Senator,Sununu,New Hampshire,Republican,House,1997,2003,924
John E. Sununu,Senator,Sununu,New Hampshire,Republican,Senate,2003,2009,925
John E. Sweeney,Representative,Sweeney,New York,Republican,House,1999,2007,926
John E. Walsh,Senator,Walsh,Montana,Democratic,Senate,2014,2015,927
John Edward Porter,Representative,Porter,Illinois,Republican,House,1979,2001,928
John Edwards,Senator,Edwards,North Carolina,Democratic,Senate,1999,2005,929
John Elias Baldacci,Representative,Baldacci,Maine,Democratic,House,1995,2003,930
John Ensign,Senator,Ensign,Nevada,Republican,House,1995,1999,931
John Ensign,Senator,Ensign,Nevada,Republican,Senate,2001,2011,932
John F. Kerry,Senator,Kerry,Massachusetts,Democratic,Senate,1985,2013,933
John F. Tierney,Representative,Tierney,Massachusetts,Democratic,House,1997,2015,934
John Fleming,Representative,Fleming,Louisiana,Republican,House,2009,2017,935
John G. Rowland,Representative,Rowland,Connecticut,Republican,House,1985,1991,936
John Garamendi,Representative,Garamendi,California,Democratic,House,2009,2020,937
John H. Adler,Representative,Adler,New Jersey,Democratic,House,2009,2011,938
John H. Chafee,Senator,Chafee,Rhode Island,Republican,Senate,1977,1999,939
John H. Rutherford,Representative,Rutherford,Florida,Republican,House,2017,2020,940
"John H., Jr. Glenn",Senator,Glenn,Ohio,Democratic,Senate,1975,1999,941
John Heinz,Senator,Heinz,Pennsylvania,Republican,House,1971,1977,942
John Heinz,Senator,Heinz,Pennsylvania,Republican,Senate,1977,1993,943
John Hoeven,Senator,Hoeven,North Dakota,Republican,Senate,2011,2020,944
John J. Duncan,Representative,Duncan,Tennessee,Republican,House,1965,1989,945
John J. Faso,Representative,Faso,New York,Republican,House,2017,2019,946
John J. Hall,Representative,Hall,New York,Democratic,House,2007,2011,947
John J. LaFalce,Representative,LaFalce,New York,Democratic,House,1975,2003,948
"John J., III Rhodes",Representative,Rhodes,Arizona,Republican,House,1987,1993,949
"John J., Jr. Duncan",Representative,Duncan,Tennessee,Republican,House,1987,2019,950
"John J.H. ""Joe"" Schwarz",Representative,Schwarz,Michigan,Republican,House,2005,2007,951
John Joseph Moakley,Representative,Moakley,Massachusetts,Democratic,House,1973,2001,952
John Joyce,Representative,Joyce,Pennsylvania,Republican,House,2019,2020,953
John K. Delaney,Representative,Delaney,Maryland,Democratic,House,2013,2019,954
John Katko,Representative,Katko,New York,Republican,House,2015,2020,955
John Kennedy,Senator,Kennedy,Louisiana,Republican,Senate,2017,2020,956
John Kline,Representative,Kline,Minnesota,Republican,House,2003,2017,957
John L. Mica,Representative,Mica,Florida,Republican,House,1993,2017,958
John Lewis,Representative,Lewis,Georgia,Democratic,House,1987,2020,959
John Linder,Representative,Linder,Georgia,Republican,House,1993,2011,960
John M. McHugh,Representative,McHugh,New York,Republican,House,1993,2009,961
"John M., Jr. Spratt",Representative,Spratt,South Carolina,Democratic,House,1983,2011,962
John McCain,Senator,McCain,Arizona,Republican,House,1983,1987,963
John McCain,Senator,McCain,Arizona,Republican,Senate,1987,2018,964
John Melcher,Senator,Melcher,Montana,Democratic,House,1969,1977,965
John Melcher,Senator,Melcher,Montana,Democratic,Senate,1977,1989,966
John N. Hostettler,Representative,Hostettler,Indiana,Republican,House,1995,2007,967
John P. Hammerschmidt,Representative,Hammerschmidt,Arkansas,Republican,House,1967,1993,968
John P. Murtha,Representative,Murtha,Pennsylvania,Democratic,House,1973,2010,969
John P. Sarbanes,Representative,Sarbanes,Maryland,Democratic,House,2007,2020,970
John Patrick Hiler,Representative,Hiler,Indiana,Republican,House,1981,1991,971
"John R. ""Randy"", Jr. Kuhl",Representative,Kuhl,New York,Republican,House,2005,2009,972
John R. Carter,Representative,Carter,Texas,Republican,House,2003,2020,973
John R. Curtis,Representative,Curtis,Utah,Republican,House,2017,2020,974
John R. Kasich,Representative,Kasich,Ohio,Republican,House,1983,2001,975
John R. Miller,Representative,Miller,Washington,Republican,House,1985,1993,976
John R. Moolenaar,Representative,Moolenaar,Michigan,Republican,House,2015,2020,977
John Ratcliffe,Representative,Ratcliffe,Texas,Republican,House,2015,2020,978
John S. Tanner,Representative,Tanner,Tennessee,Democratic,House,1989,2011,979
John Seymour,Senator,Seymour,California,Republican,Senate,1991,1993,980
John Shimkus,Representative,Shimkus,Illinois,Republican,House,1997,2020,981
John Sullivan,Representative,Sullivan,Oklahoma,Republican,House,2002,2013,982
John T. Doolittle,Representative,Doolittle,California,Republican,House,1991,2009,983
John T. Myers,Representative,Myers,Indiana,Republican,House,1967,1997,984
John T. Salazar,Representative,Salazar,Colorado,Democratic,House,2005,2011,985
John Thune,Senator,Thune,South Dakota,Republican,House,1997,2003,986
John Thune,Senator,Thune,South Dakota,Republican,Senate,2005,2020,987
John W. Bryant,Representative,Bryant,Texas,Democratic,House,1983,1997,988
John W. Olver,Representative,Olver,Massachusetts,Democratic,House,1991,2013,989
John W. Rose,Representative,Rose,Tennessee,Republican,House,2019,2020,990
"John W., Jr. Cox",Representative,Cox,Illinois,Democratic,House,1991,1993,991
John Warner,Senator,Warner,Virginia,Republican,Senate,1979,2009,992
"John, Jr. Conyers",Representative,Conyers,Michigan,Democratic,House,1965,2017,993
Johnny Isakson,Senator,Isakson,Georgia,Republican,House,1999,2005,994
Johnny Isakson,Senator,Isakson,Georgia,Republican,Senate,2005,2019,995
Jolene Unsoeld,Representative,Unsoeld,Washington,Democratic,House,1989,1995,996
Jon C. Porter,Representative,Porter,Nevada,Republican,House,2003,2009,997
Jon Christensen,Representative,Christensen,Nebraska,Republican,House,1995,1999,998
Jon D. Fox,Representative,Fox,Pennsylvania,Republican,House,1995,1999,999
Jon Kyl,Senator,Kyl,Arizona,Republican,House,2018,2019,1000
Jon Kyl,Senator,Kyl,Arizona,Republican,Senate,1995,2013,1001
Jon Runyan,Representative,Runyan,New Jersey,Republican,House,2011,2015,1002
Jon S. Corzine,Senator,Corzine,New Jersey,Democratic,Senate,2001,2006,1003
Jon Tester,Senator,Tester,Montana,Democratic,Senate,2007,2020,1004
Joni Ernst,Senator,Ernst,Iowa,Republican,Senate,2015,2020,1005
Jose E. Serrano,Representative,Serrano,New York,Democratic,House,1989,2020,1006
Joseph Crowley,Representative,Crowley,New York,Democratic,House,1999,2019,1007
Joseph D. Early,Representative,Early,Massachusetts,Democratic,House,1975,1993,1008
Joseph D. Morelle,Representative,Morelle,New York,Democratic,House,2018,2020,1009
Joseph E. Brennan,Representative,Brennan,Maine,Democratic,House,1987,1991,1010
Joseph I. Lieberman,Senator,Lieberman,Connecticut,Independent Democrat,Senate,1989,2013,1011
Joseph J. DioGuardi,Representative,DioGuardi,New York,Republican,House,1985,1989,1012
Joseph J. Heck,Representative,Heck,Nevada,Republican,House,2011,2017,1013
Joseph M. Gaydos,Representative,Gaydos,Pennsylvania,Democratic,House,1967,1993,1014
Joseph M. Hoeffel,Representative,Hoeffel,Pennsylvania,Democratic,House,1999,2005,1015
Joseph M. McDade,Representative,McDade,Pennsylvania,Republican,House,1963,1999,1016
Joseph P. Kolter,Representative,Kolter,Pennsylvania,Democratic,House,1983,1993,1017
"Joseph P., II Kennedy",Representative,Kennedy,Massachusetts,Democratic,House,1987,1999,1018
"Joseph P., III Kennedy",Representative,Kennedy,Massachusetts,Democratic,House,2013,2020,1019
Joseph R. Pitts,Representative,Pitts,Pennsylvania,Republican,House,1997,2017,1020
"Joseph R., Jr. Biden",Senator,Biden,Delaware,Democratic,Senate,1973,2009,1021
Josh Gottheimer,Representative,Gottheimer,New Jersey,Democratic,House,2017,2020,1022
Josh Harder,Representative,Harder,California,Democratic,House,2019,2020,1023
Josh Hawley,Senator,Hawley,Missouri,Republican,Senate,2019,2020,1024
Joyce Beatty,Representative,Beatty,Ohio,Democratic,House,2013,2020,1025
Juan Vargas,Representative,Vargas,California,Democratic,House,2013,2020,1026
Juanita Millender-McDonald,Representative,Millender-McDonald,California,Democratic,House,1995,2007,1027
Judd Gregg,Senator,Gregg,New Hampshire,Republican,House,1981,1989,1028
Judd Gregg,Senator,Gregg,New Hampshire,Republican,Senate,1993,2011,1029
Judy Biggert,Representative,Biggert,Illinois,Republican,House,1999,2013,1030
Judy Chu,Representative,Chu,California,Democratic,House,2009,2020,1031
Julia Brownley,Representative,Brownley,California,Democratic,House,2013,2020,1032
Julia Carson,Representative,Carson,Indiana,Democratic,House,1997,2007,1033
Julian C. Dixon,Representative,Dixon,California,Democratic,House,1979,2003,1034
Justin Amash,Representative,Amash,Michigan,Libertarian,House,2011,2020,1035
K. Michael Conaway,Representative,Conaway,Texas,Republican,House,2005,2020,1036
Kamala D. Harris,Senator,Harris,California,Democratic,Senate,2017,2020,1037
Karan English,Representative,English,Arizona,Democratic,House,1993,1995,1038
Karen Bass,Representative,Bass,California,Democratic,House,2011,2020,1039
Karen C. Handel,Representative,Handel,Georgia,Republican,House,2017,2019,1040
Karen L. Thurman,Representative,Thurman,Florida,Democratic,House,1993,2003,1041
Karen McCarthy,Representative,McCarthy,Missouri,Democratic,House,1995,2005,1042
Karen Shepherd,Representative,Shepherd,Utah,Democratic,House,1993,1995,1043
Katherine Harris,Representative,Harris,Florida,Republican,House,2003,2007,1044
Katherine M. Clark,Representative,Clark,Massachusetts,Democratic,House,2013,2020,1045
Kathleen A. Dahlkemper,Representative,Dahlkemper,Pennsylvania,Democratic,House,2009,2011,1046
Kathleen C. Hochul,Representative,Hochul,New York,Democratic,House,2011,2013,1047
Kathleen M. Rice,Representative,Rice,New York,Democratic,House,2015,2020,1048
Kathy Castor,Representative,Castor,Florida,Democratic,House,2007,2020,1049
Katie Hill,Representative,Hill,California,Democratic,House,2019,2019,1050
Katie Porter,Representative,Porter,California,Democratic,House,2019,2020,1051
Kay Bailey Hutchison,Senator,Hutchison,Texas,Republican,Senate,1993,2013,1052
Kay Granger,Representative,Granger,Texas,Republican,House,1997,2020,1053
Kay R. Hagan,Senator,Hagan,North Carolina,Democratic,Senate,2009,2015,1054
Keith Ellison,Representative,Ellison,Minnesota,Democratic,House,2007,2019,1055
Keith J. Rothfus,Representative,Rothfus,Pennsylvania,Republican,House,2013,2019,1056
Kelly Armstrong,Representative,Armstrong,North Dakota,Republican,House,2019,2020,1057
Kelly Ayotte,Senator,Ayotte,New Hampshire,Republican,Senate,2011,2017,1058
Kelly Loeffler,Senator,Loeffler,Georgia,Republican,Senate,2020,2020,1059
Ken Bentsen,Representative,Bentsen,Texas,Democratic,House,1995,2003,1060
Ken Buck,Representative,Buck,Colorado,Republican,House,2015,2020,1061
Ken Calvert,Representative,Calvert,California,Republican,House,1993,2020,1062
Ken Lucas,Representative,Lucas,Kentucky,Democratic,House,1999,2005,1063
Ken Salazar,Senator,Salazar,Colorado,Democratic,Senate,2005,2009,1064
Kendra S. Horn,Representative,Horn,Oklahoma,Democratic,House,2019,2020,1065
Kendrick B. Meek,Representative,Meek,Florida,Democratic,House,2003,2011,1066
Kenneth J. Gray,Representative,Gray,Illinois,Democratic,House,1955,1989,1067
Kenny C. Hulshof,Representative,Hulshof,Missouri,Republican,House,1997,2009,1068
Kenny Marchant,Representative,Marchant,Texas,Republican,House,2005,2020,1069
Kent Conrad,Senator,Conrad,North Dakota,Democratic,Senate,1987,2013,1070
Kerry L. Bentivolio,Representative,Bentivolio,Michigan,Republican,House,2013,2015,1071
Kevin Brady,Representative,Brady,Texas,Republican,House,1997,2020,1072
Kevin Cramer,Senator,Cramer,North Dakota,Republican,House,2013,2019,1073
Kevin Cramer,Senator,Cramer,North Dakota,Republican,Senate,2019,2020,1074
Kevin Hern,Representative,Hern,Oklahoma,Republican,House,2018,2020,1075
Kevin McCarthy,Representative,McCarthy,California,Republican,House,2007,2020,1076
Kevin Yoder,Representative,Yoder,Kansas,Republican,House,2011,2019,1077
Kim Schrier,Representative,Schrier,Washington,Democratic,House,2019,2020,1078
Kirsten E. Gillibrand,Senator,Gillibrand,New York,Democratic,House,2007,2009,1079
Kirsten E. Gillibrand,Senator,Gillibrand,New York,Democratic,Senate,2009,2020,1080
Kristi L. Noem,Representative,Noem,South Dakota,Republican,House,2011,2019,1081
Kurt Schrader,Representative,Schrader,Oregon,Democratic,House,2009,2020,1082
Kweisi Mfume,Representative,Mfume,Maryland,Democratic,House,1987,2020,1083
Kyrsten Sinema,Senator,Sinema,Arizona,Democratic,House,2013,2019,1084
