full_name,member_title,last_name,state,party_name,chamber,year_start,year_end,member_id
Bill Delahunt,Representative,Delahunt,Massachusetts,Democratic,House,1997,2011,127
Bill Emerson,Representative,Emerson,Missouri,Republican,House,1981,1997,128
Bill Flores,Representative,Flores,Texas,Republican,House,2011,2020,129
Bill Foster,Representative,Foster,Illinois,Democratic,House,2008,2020,130
Bill Frenzel,Representative,Frenzel,Minnesota,Republican,House,1971,1991,131
Bill Grant,Representative,Grant,Florida,Republican,House,1987,1991,132
Bill Huizenga,Representative,Huizenga,Michigan,Republican,House,2011,2020,133
Bill Johnson,Representative,Johnson,Ohio,Republican,House,2011,2020,134
Bill K. Brewster,Representative,Brewster,Oklahoma,Democratic,House,1991,1997,135
Bill Lowery,Representative,Lowery,California,Republican,House,1981,1993,136
Bill Luther,Representative,Luther,Minnesota,Democratic,House,1995,2003,137
Bill McCollum,Representative,McCollum,Florida,Republican,House,1981,2001,138
Bill Nelson,Senator,Nelson,Florida,Democratic,House,1979,1991,139
Bill Nelson,Senator,Nelson,Florida,Democratic,Senate,2001,2019,140
Bill Nichols,Representative,Nichols,Alabama,Democratic,House,1967,1989,141
Bill Orton,Representative,Orton,Utah,Democratic,House,1991,1997,142
Bill Paxon,Representative,Paxon,New York,Republican,House,1989,1999,143
Bill Posey,Representative,Posey,Florida,Republican,House,2009,2020,144
Bill Redmond,Representative,Redmond,New Mexico,Republican,House,1997,1999,145
Bill Richardson,Representative,Richardson,New Mexico,Democratic,House,1983,1999,146
Bill Sali,Representative,Sali,Idaho,Republican,House,2007,2009,147
Bill Sarpalius,Representative,Sarpalius,Texas,Democratic,House,1989,1995,148
Bill Schuette,Representative,Schuette,Michigan,Republican,House,1985,1991,149
Bill Shuster,Representative,Shuster,Pennsylvania,Republican,House,2001,2019,150
"Bill, Jr. Chappell",Representative,Chappell,Florida,Democratic,House,1969,1989,151
"Bill, Jr. Pascrell",Representative,Pascrell,New Jersey,Democratic,House,1997,2020,152
Billy Long,Representative,Long,Missouri,Republican,House,2011,2020,153
Blaine Luetkemeyer,Representative,Luetkemeyer,Missouri,Republican,House,2009,2020,154
Blake Farenthold,Representative,Farenthold,Texas,Republican,House,2011,2018,155
Blanche L. Lincoln,Senator,Lincoln,Arkansas,Democratic,House,1993,1997,156
Blanche L. Lincoln,Senator,Lincoln,Arkansas,Democratic,Senate,1999,2011,157
Bob Barr,Representative,Barr,Georgia,Republican,House,1995,2003,158
Bob Beauprez,Representative,Beauprez,Colorado,Republican,House,2003,2007,159
Bob Carr,Representative,Carr,Michigan,Democratic,House,1975,1995,160
